Model,Accuracy
LR,0.4552238805970149
SVM,0.48507462686567165
RF,0.835820895522388
ANN,0.4552238805970149
AdaBoost,0.7835820895522388
XGBoost,0.8283582089552238
LightGBM,0.8283582089552238
